Link (2896): (2, 1, 1) = (id, map_id, weight)
Link (2896): (2, 2, 9) = (id, map_id, weight)
Link (2896): (679, 679, 9) = (id, map_id, weight)
Link (2896): (1, 1, 9) = (id, map_id, weight)
Link (2896): (1, 3, 0) = (id, map_id, weight)
Link (2896): (1, 14, 2) = (id, map_id, weight)
Link (2896): (3, 1, 0) = (id, map_id, weight)
Link (2896): (3, 3, 9) = (id, map_id, weight)
Link (2896): (3, 4, 0) = (id, map_id, weight)
Link (2896): (4, 3, 0) = (id, map_id, weight)
Link (2896): (4, 4, 9) = (id, map_id, weight)
Link (2896): (4, 5, 0) = (id, map_id, weight)
Link (2896): (5, 4, 0) = (id, map_id, weight)
Link (2896): (5, 5, 9) = (id, map_id, weight)
Link (2896): (5, 6, 0) = (id, map_id, weight)
Link (2896): (6, 5, 0) = (id, map_id, weight)
Link (2896): (6, 6, 9) = (id, map_id, weight)
Link (2896): (6, 7, 0) = (id, map_id, weight)
Link (2896): (7, 6, 0) = (id, map_id, weight)
Link (2896): (7, 7, 9) = (id, map_id, weight)
Link (2896): (7, 8, 0) = (id, map_id, weight)
Link (2896): (8, 7, 0) = (id, map_id, weight)
Link (2896): (8, 8, 9) = (id, map_id, weight)
Link (2896): (8, 9, 0) = (id, map_id, weight)
Link (2896): (8, 125, 1) = (id, map_id, weight)
Link (2896): (9, 8, 0) = (id, map_id, weight)
Link (2896): (9, 9, 9) = (id, map_id, weight)
Link (2896): (9, 10, 0) = (id, map_id, weight)
Link (2896): (9, 197, 1) = (id, map_id, weight)
Link (2896): (10, 9, 0) = (id, map_id, weight)
Link (2896): (10, 10, 9) = (id, map_id, weight)
Link (2896): (10, 11, 0) = (id, map_id, weight)
Link (2896): (11, 10, 0) = (id, map_id, weight)
Link (2896): (11, 11, 9) = (id, map_id, weight)
Link (2896): (11, 12, 0) = (id, map_id, weight)
Link (2896): (12, 11, 0) = (id, map_id, weight)
Link (2896): (12, 12, 9) = (id, map_id, weight)
Link (2896): (12, 13, 0) = (id, map_id, weight)
Link (2896): (13, 12, 0) = (id, map_id, weight)
Link (2896): (13, 13, 9) = (id, map_id, weight)
Link (2896): (13, 14, 0) = (id, map_id, weight)
Link (2896): (14, 1, 2) = (id, map_id, weight)
Link (2896): (14, 13, 0) = (id, map_id, weight)
Link (2896): (14, 14, 9) = (id, map_id, weight)
Link (2896): (14, 15, 0) = (id, map_id, weight)
Link (2896): (14, 206, 1) = (id, map_id, weight)
Link (2896): (15, 14, 0) = (id, map_id, weight)
Link (2896): (15, 15, 9) = (id, map_id, weight)
Link (2896): (15, 16, 0) = (id, map_id, weight)
Link (2896): (16, 15, 0) = (id, map_id, weight)
Link (2896): (16, 16, 9) = (id, map_id, weight)
Link (2896): (16, 17, 0) = (id, map_id, weight)
Link (2896): (17, 16, 0) = (id, map_id, weight)
Link (2896): (17, 17, 9) = (id, map_id, weight)
Link (2896): (17, 18, 0) = (id, map_id, weight)
Link (2896): (18, 17, 0) = (id, map_id, weight)
Link (2896): (18, 18, 9) = (id, map_id, weight)
Link (2896): (18, 19, 0) = (id, map_id, weight)
Link (2896): (19, 18, 0) = (id, map_id, weight)
Link (2896): (19, 19, 9) = (id, map_id, weight)
Link (2896): (19, 20, 0) = (id, map_id, weight)
Link (2896): (20, 19, 0) = (id, map_id, weight)
Link (2896): (20, 20, 9) = (id, map_id, weight)
Link (2896): (20, 21, 0) = (id, map_id, weight)
Link (2896): (21, 20, 0) = (id, map_id, weight)
Link (2896): (21, 21, 9) = (id, map_id, weight)
Link (2896): (21, 22, 0) = (id, map_id, weight)
Link (2896): (22, 21, 0) = (id, map_id, weight)
Link (2896): (22, 22, 9) = (id, map_id, weight)
Link (2896): (22, 23, 0) = (id, map_id, weight)
Link (2896): (23, 22, 0) = (id, map_id, weight)
Link (2896): (23, 23, 9) = (id, map_id, weight)
Link (2896): (23, 24, 0) = (id, map_id, weight)
Link (2896): (24, 23, 0) = (id, map_id, weight)
Link (2896): (24, 24, 9) = (id, map_id, weight)
Link (2896): (24, 25, 0) = (id, map_id, weight)
Link (2896): (25, 24, 0) = (id, map_id, weight)
Link (2896): (25, 25, 9) = (id, map_id, weight)
Link (2896): (25, 26, 0) = (id, map_id, weight)
Link (2896): (26, 25, 0) = (id, map_id, weight)
Link (2896): (26, 26, 9) = (id, map_id, weight)
Link (2896): (26, 27, 0) = (id, map_id, weight)
Link (2896): (27, 26, 0) = (id, map_id, weight)
Link (2896): (27, 27, 9) = (id, map_id, weight)
Link (2896): (27, 28, 0) = (id, map_id, weight)
Link (2896): (28, 27, 0) = (id, map_id, weight)
Link (2896): (28, 28, 9) = (id, map_id, weight)
Link (2896): (28, 29, 0) = (id, map_id, weight)
Link (2896): (29, 28, 0) = (id, map_id, weight)
Link (2896): (29, 29, 9) = (id, map_id, weight)
Link (2896): (29, 30, 0) = (id, map_id, weight)
Link (2896): (30, 29, 0) = (id, map_id, weight)
Link (2896): (30, 30, 9) = (id, map_id, weight)
Link (2896): (30, 31, 0) = (id, map_id, weight)
Link (2896): (31, 30, 0) = (id, map_id, weight)
Link (2896): (31, 31, 9) = (id, map_id, weight)
Link (2896): (31, 32, 0) = (id, map_id, weight)
Link (2896): (32, 31, 0) = (id, map_id, weight)
Link (2896): (32, 32, 9) = (id, map_id, weight)
Link (2896): (32, 33, 0) = (id, map_id, weight)
Link (2896): (33, 32, 0) = (id, map_id, weight)
Link (2896): (33, 33, 9) = (id, map_id, weight)
Link (2896): (33, 34, 0) = (id, map_id, weight)
Link (2896): (34, 33, 0) = (id, map_id, weight)
Link (2896): (34, 34, 9) = (id, map_id, weight)
Link (2896): (34, 35, 0) = (id, map_id, weight)
Link (2896): (35, 34, 0) = (id, map_id, weight)
Link (2896): (35, 35, 9) = (id, map_id, weight)
Link (2896): (35, 36, 0) = (id, map_id, weight)
Link (2896): (36, 35, 0) = (id, map_id, weight)
Link (2896): (36, 36, 9) = (id, map_id, weight)
Link (2896): (36, 37, 0) = (id, map_id, weight)
Link (2896): (37, 36, 0) = (id, map_id, weight)
Link (2896): (37, 37, 9) = (id, map_id, weight)
Link (2896): (37, 38, 0) = (id, map_id, weight)
Link (2896): (38, 37, 0) = (id, map_id, weight)
Link (2896): (38, 38, 9) = (id, map_id, weight)
Link (2896): (38, 39, 0) = (id, map_id, weight)
Link (2896): (39, 38, 0) = (id, map_id, weight)
Link (2896): (39, 39, 9) = (id, map_id, weight)
Link (2896): (39, 40, 0) = (id, map_id, weight)
Link (2896): (40, 39, 0) = (id, map_id, weight)
Link (2896): (40, 40, 9) = (id, map_id, weight)
Link (2896): (40, 41, 0) = (id, map_id, weight)
Link (2896): (41, 40, 0) = (id, map_id, weight)
Link (2896): (41, 41, 9) = (id, map_id, weight)
Link (2896): (41, 42, 0) = (id, map_id, weight)
Link (2896): (42, 41, 0) = (id, map_id, weight)
Link (2896): (42, 42, 9) = (id, map_id, weight)
Link (2896): (42, 43, 0) = (id, map_id, weight)
Link (2896): (43, 42, 0) = (id, map_id, weight)
Link (2896): (43, 43, 9) = (id, map_id, weight)
Link (2896): (43, 44, 0) = (id, map_id, weight)
Link (2896): (44, 43, 0) = (id, map_id, weight)
Link (2896): (44, 44, 9) = (id, map_id, weight)
Link (2896): (44, 45, 0) = (id, map_id, weight)
Link (2896): (45, 44, 0) = (id, map_id, weight)
Link (2896): (45, 45, 9) = (id, map_id, weight)
Link (2896): (45, 46, 0) = (id, map_id, weight)
Link (2896): (46, 45, 0) = (id, map_id, weight)
Link (2896): (46, 46, 9) = (id, map_id, weight)
Link (2896): (46, 47, 0) = (id, map_id, weight)
Link (2896): (47, 46, 0) = (id, map_id, weight)
Link (2896): (47, 47, 9) = (id, map_id, weight)
Link (2896): (47, 48, 0) = (id, map_id, weight)
Link (2896): (48, 47, 0) = (id, map_id, weight)
Link (2896): (48, 48, 9) = (id, map_id, weight)
Link (2896): (48, 49, 0) = (id, map_id, weight)
Link (2896): (49, 48, 0) = (id, map_id, weight)
Link (2896): (49, 49, 9) = (id, map_id, weight)
Link (2896): (49, 50, 0) = (id, map_id, weight)
Link (2896): (50, 49, 0) = (id, map_id, weight)
Link (2896): (50, 50, 9) = (id, map_id, weight)
Link (2896): (50, 51, 0) = (id, map_id, weight)
Link (2896): (51, 50, 0) = (id, map_id, weight)
Link (2896): (51, 51, 9) = (id, map_id, weight)
Link (2896): (51, 52, 0) = (id, map_id, weight)
Link (2896): (52, 51, 0) = (id, map_id, weight)
Link (2896): (52, 52, 9) = (id, map_id, weight)
Link (2896): (52, 53, 0) = (id, map_id, weight)
Link (2896): (53, 52, 0) = (id, map_id, weight)
Link (2896): (53, 53, 9) = (id, map_id, weight)
Link (2896): (53, 54, 0) = (id, map_id, weight)
Link (2896): (54, 53, 0) = (id, map_id, weight)
Link (2896): (54, 54, 9) = (id, map_id, weight)
Link (2896): (54, 55, 0) = (id, map_id, weight)
Link (2896): (55, 54, 0) = (id, map_id, weight)
