Node (960): (1, 0) = (id, weight)
Node (960): (2, -9) = (id, weight)
Node (960): (3, 0) = (id, weight)
Node (960): (4, 0) = (id, weight)
Node (960): (5, 0) = (id, weight)
Node (960): (6, 0) = (id, weight)
Node (960): (7, 0) = (id, weight)
Node (960): (8, 0) = (id, weight)
Node (960): (9, 0) = (id, weight)
Node (960): (10, 0) = (id, weight)
Node (960): (11, 0) = (id, weight)
Node (960): (12, 0) = (id, weight)
Node (960): (13, 0) = (id, weight)
Node (960): (14, 0) = (id, weight)
Node (960): (15, 0) = (id, weight)
Node (960): (16, 0) = (id, weight)
Node (960): (17, 0) = (id, weight)
Node (960): (18, 0) = (id, weight)
Node (960): (19, 0) = (id, weight)
Node (960): (20, 0) = (id, weight)
Node (960): (21, 0) = (id, weight)
Node (960): (22, 0) = (id, weight)
Node (960): (23, 0) = (id, weight)
Node (960): (24, 0) = (id, weight)
Node (960): (25, 0) = (id, weight)
Node (960): (26, 0) = (id, weight)
Node (960): (27, 0) = (id, weight)
Node (960): (28, 0) = (id, weight)
Node (960): (29, 0) = (id, weight)
Node (960): (30, 0) = (id, weight)
Node (960): (31, 0) = (id, weight)
Node (960): (32, 0) = (id, weight)
Node (960): (33, 0) = (id, weight)
Node (960): (34, 0) = (id, weight)
Node (960): (35, 0) = (id, weight)
Node (960): (36, 0) = (id, weight)
Node (960): (37, 0) = (id, weight)
Node (960): (38, 0) = (id, weight)
Node (960): (39, 0) = (id, weight)
Node (960): (40, 0) = (id, weight)
Node (960): (41, 0) = (id, weight)
Node (960): (42, 0) = (id, weight)
Node (960): (43, 0) = (id, weight)
Node (960): (44, 0) = (id, weight)
Node (960): (45, 0) = (id, weight)
Node (960): (46, 0) = (id, weight)
Node (960): (47, 0) = (id, weight)
Node (960): (48, 0) = (id, weight)
Node (960): (49, 0) = (id, weight)
Node (960): (50, 0) = (id, weight)
Node (960): (51, 0) = (id, weight)
Node (960): (52, 0) = (id, weight)
Node (960): (53, 0) = (id, weight)
Node (960): (54, 0) = (id, weight)
Node (960): (55, 0) = (id, weight)
Node (960): (56, 0) = (id, weight)
Node (960): (57, 0) = (id, weight)
Node (960): (58, 0) = (id, weight)
Node (960): (59, 0) = (id, weight)
Node (960): (60, 0) = (id, weight)
Node (960): (61, 0) = (id, weight)
Node (960): (62, 0) = (id, weight)
Node (960): (63, 0) = (id, weight)
Node (960): (64, 0) = (id, weight)
Node (960): (65, 0) = (id, weight)
Node (960): (66, 0) = (id, weight)
Node (960): (67, 0) = (id, weight)
Node (960): (68, 0) = (id, weight)
Node (960): (69, 0) = (id, weight)
Node (960): (70, 0) = (id, weight)
Node (960): (71, 0) = (id, weight)
Node (960): (72, 0) = (id, weight)
Node (960): (73, 0) = (id, weight)
Node (960): (74, 0) = (id, weight)
Node (960): (75, 0) = (id, weight)
Node (960): (76, 0) = (id, weight)
Node (960): (77, 0) = (id, weight)
Node (960): (78, 0) = (id, weight)
Node (960): (79, 0) = (id, weight)
Node (960): (80, 0) = (id, weight)
Node (960): (81, 0) = (id, weight)
Node (960): (82, 0) = (id, weight)
Node (960): (83, 0) = (id, weight)
Node (960): (84, 0) = (id, weight)
Node (960): (85, 0) = (id, weight)
Node (960): (86, 0) = (id, weight)
Node (960): (87, 0) = (id, weight)
Node (960): (88, 0) = (id, weight)
Node (960): (89, 0) = (id, weight)
Node (960): (90, 0) = (id, weight)
Node (960): (91, 0) = (id, weight)
Node (960): (92, 0) = (id, weight)
Node (960): (93, 0) = (id, weight)
Node (960): (94, 0) = (id, weight)
Node (960): (95, 0) = (id, weight)
Node (960): (96, 0) = (id, weight)
Node (960): (97, 0) = (id, weight)
Node (960): (98, 0) = (id, weight)
Node (960): (99, 0) = (id, weight)
Node (960): (100, 0) = (id, weight)
Node (960): (101, 0) = (id, weight)
Node (960): (102, 0) = (id, weight)
Node (960): (103, 0) = (id, weight)
Node (960): (104, 0) = (id, weight)
Node (960): (105, 0) = (id, weight)
Node (960): (106, 0) = (id, weight)
Node (960): (107, 0) = (id, weight)
Node (960): (108, 0) = (id, weight)
Node (960): (109, 0) = (id, weight)
Node (960): (110, 0) = (id, weight)
Node (960): (111, 0) = (id, weight)
Node (960): (112, 0) = (id, weight)
Node (960): (113, 0) = (id, weight)
Node (960): (114, 0) = (id, weight)
Node (960): (115, 0) = (id, weight)
Node (960): (116, 0) = (id, weight)
Node (960): (117, 0) = (id, weight)
Node (960): (118, 0) = (id, weight)
Node (960): (119, 0) = (id, weight)
Node (960): (120, 0) = (id, weight)
Node (960): (121, 0) = (id, weight)
Node (960): (122, 0) = (id, weight)
Node (960): (123, 0) = (id, weight)
Node (960): (124, 0) = (id, weight)
Node (960): (125, 0) = (id, weight)
Node (960): (126, 0) = (id, weight)
Node (960): (127, 0) = (id, weight)
Node (960): (128, 0) = (id, weight)
Node (960): (129, 0) = (id, weight)
Node (960): (130, 0) = (id, weight)
Node (960): (131, 0) = (id, weight)
Node (960): (132, 0) = (id, weight)
Node (960): (133, 0) = (id, weight)
Node (960): (134, 0) = (id, weight)
Node (960): (135, 0) = (id, weight)
Node (960): (136, 0) = (id, weight)
Node (960): (137, 0) = (id, weight)
Node (960): (138, 0) = (id, weight)
Node (960): (139, 0) = (id, weight)
Node (960): (140, 0) = (id, weight)
Node (960): (141, 0) = (id, weight)
Node (960): (142, 0) = (id, weight)
Node (960): (143, 0) = (id, weight)
Node (960): (144, 0) = (id, weight)
Node (960): (145, 0) = (id, weight)
Node (960): (146, 0) = (id, weight)
Node (960): (147, 0) = (id, weight)
Node (960): (148, 0) = (id, weight)
Node (960): (149, 0) = (id, weight)
Node (960): (150, 0) = (id, weight)
Node (960): (151, 0) = (id, weight)
Node (960): (152, 0) = (id, weight)
Node (960): (153, 0) = (id, weight)
Node (960): (154, 0) = (id, weight)
Node (960): (155, 0) = (id, weight)
Node (960): (156, 0) = (id, weight)
Node (960): (157, 0) = (id, weight)
